Actors,Expertise/Interests,Doctorate/ Highest degree,Organization,Department,College/ School,Award Number,Title,Abstract,Project Keywords (Survey),Project Categories,Corrected Tags,MappedExpertise,ExpertiseCategories,CleanedDepartment
Meltem Alemdar,"improving K-12 STEM education through research on curriculum development, teacher professional development, student learning in integrated STEM environments",,Georgia Tech,"Center for Education Integrating Science, Mathematics and Computing",,2119135,Exploring Artificial Intelligence-enhanced Electronic Design Process Logs: Empowering High School Engineering Teachers,"The Engineering Design Process (EDP) is a general theoretical framework often used for teaching engineering, STEM, invention, and even science, particularly in K-12 education. While most EDPs used in education are depicted as linear or circular, true design processes are highly creative, non-linear, and often involve ill-posed problem statements and solution criteria.  These traits make it particularly difficult for high school engineering teachers, who tend to skip over key elements of human-centered design, where an engineer takes time to understand the problem through research, interviews, prior literature searches, market analysis, and brainstorming—the steps where diversity of thought and experience are of the most value. In addition, it can be hard to provide students with real-time feedback due to the asynchronous nature of group work and large class sizes, and students may not feel comfortable asking for feedback on incomplete work. This project will develop and pilot an artificial intelligence (AI) enhanced Engineering Design Process Log to help students navigate the design process, provide real-time feedback, and encourage meaningful documentation of each step of the process.  This project does not propose to replace teachers with AI; rather, the project will explore a novel approach in which AI systems assist teachers in the creation of instructional modules that adhere to EDP best practices. This project is a collaboration between researchers at Georgia Tech’s College of Computing (GT CoC) and researchers at Georgia Tech’s Center for Education Integrating Science, Mathematics and Computing (CEISMC).  <br/> <br/>This project is a teaching-focused technological innovation, representing an early exploration into AI-enhanced design pedagogy. Specifically, the project will: 1) Improve upon an existing web-based Engineering Design Process Log (EDPL) by engaging in teacher user studies, 2) Design, pilot, and implement an AI-based authoring and tutoring system for teachers to customize feedback for students and for specific projects with domain expertise, 3) Design and provide professional development opportunities for alpha and beta testing teachers, and 4) Assess the impact of an AI-based EDP Log (AI-EDPL) on engineering design pedagogy and classroom practice. The AI-EDPL software system will use concepts initially pioneered for intelligent tutoring systems, but applied to scaffolding the creation of custom, teacher-made instructional materials that adhere to best practices in design process pedagogy assessment. Unlike many other educational domains, engineering design problems vary widely in scope and solution pathways, which means there will not be a one-size-fits-all tutoring system that can provide feedback to students. This project will examine (a) whether artificial intelligence can support and scaffold teachers in the creation of the necessary models and knowledge structures needed to scaffold and support learners, and, (b) what professional development teachers need to be successful in developing these models. A multi-phased approach will be used, using value-sensitive design processes from the field of human computer interaction to develop minimalist functional systems that can be tested with teachers in classrooms. In order for AI to help teachers, who do not have a lot of time to tinker with software, they must be able to express their intentions in natural language, which must be automatically converted into functional approximations of the task models that can be easily edited. This project will build on best practices in design theory and pedagogy, design documentation, design instruction, design assessment, and AI tutoring to create a one-of-a-kind technology suitable for engineering design instruction at the high school level. It represents a first attempt at providing real-time feedback in a computational setting for an open-ended design challenge, and it does so without marginalizing or diminishing the role of the instructor in the engineering classroom.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",AI; AI knowledge representation and reasoning,,"Other, User-centered design, Adaptive/Personalized learning and intelligent tutors, AI","Instructional Design,Educator professional learning,Science education,Math education,Engineering education","Capacity Building,Disciplinary Areas","Learning Sciences,Mathematics, Computing Technology"
Jivko Sinapov,"Multimodal Learning, Interaction, Cognitive and Developmental Robotics, Human-Robot Interaction, Robot Learning, Computer Perception",,Tufts University,Computer Science,,2119174,Integrating Artificial Intelligence with Smart Engineering and English Language Arts in Upper Elementary Education,"This project will develop upper elementary school students’ abilities to work with Artificial intelligence (AI) in future careers. AI will be a critical tool for influencing and increasing productivity in the future of work. As such, it is increasingly important to introduce K-12 students to basic AI knowledge and skills, build familiarity with AI technologies, and train students to be competitive in the workforce. Through this project, a team of robotics and education researchers at Tufts University in Massachusetts and Maryville University in St. Louis, MO will work with over 50 teachers in St. Louis County to develop a research-informed educational ecosystem bringing AI concepts to upper elementary school students. This ecosystem will include a novel, low-cost, AI-enabled hardware toolset, including components such as sensors, actuators, and a microcontroller, for students to build smart systems, as well as support for teacher professional development. Through after-school and summer programs, the project will engage over 1000 St. Louis County students in constructing functional AI-enabled solutions to problems presented in fictional stories that the students read in English language arts and summer reading programs. The goal of the approach is to encourage transdisciplinary learning at the intersection of AI, engineering, and literacy. The education program testing will include 12 teachers and 500 students from the upper elementary target audience, with other participants in pilot testing across the K-12 grade band. The project aims to generate a new model for introducing vital AI concepts to elementary students that reduces barriers to integrating computational thinking into school curricula and provides tangible, trainable representations of AI for students to explore.<br/><br/>Researchers will investigate three primary research questions: 1) How does the introduction of tangible artificial intelligence elements lead to changes in upper elementary students’ understanding of artificial intelligence concepts and attitudes towards artificial intelligence? 2) How do different levels of complexity and variety of tangible artificial intelligence learning tools impact students' engagement and the diversity of their solutions and designs? 3) What are the potential benefits and challenges of introducing tangible artificial intelligence elements in integrated engineering and literacy activities? The project team will apply a design-based research (DBR) approach to jointly generate interdisciplinary education and learning sciences theory alongside iteratively designing and developing the toolset, professional development, and activities. The research will include interviews and surveys with AI professionals to develop and validate grade-appropriate measures of students’ understanding of AI concepts and attitudes. The team will evaluate the research questions with a mixed-methods analytic approach, triangulating qualitative data from teacher interviews, lesson and professional development observations, student-made artifact analysis, and artifact-based student interviews with quantitative data from teacher and student surveys. The project’s contribution will shift the artificial intelligence education paradigm towards a convergent curriculum and away from the status quo of coding and computing requiring separate instruction. The project findings will help inform the field about challenges specific to AI education in upper elementary grades. The deliverables from this project will include the AI Animated Inventions (AI2) hardware toolset, a teacher professional development model, a gallery of example activities and student work, and measures of the program’s effectiveness, as well as the usability and utility of the tangible artificial intelligence elements for learning AI concepts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Design-based research (DBR), Modeling and simulation (including agent-based modeling), AI","Machine learning,Robots,Human-AI Interaction,Multimodal communication","Learning Processes and Theories,Other Disciplinary Areas,AI Approaches and Technologies,Learning Environments and Platforms",Computer Science
Ann Eisenberg,design and creation of objects that combine computation with real-world craft materials (e.g. Arduino-controlled sunflowers; software-generated polyhedral paper sculpture; RFID-augmented stuffed zombies),,University of Colorado at Boulder,Cognitive Science,,2119303,Inclusively-designing sensory extensions for STEM inquiry learning,"This project investigates innovative sensory extension device technologies to create learning materials that are accessible and enable diverse learners to use multiple modalities in science and mathematics learning. The new technologies will be designed, crafted, customized, and personalized by STEM learners with diverse needs. Humans think and communicate using multiple sensory modalities, including sight, sound, gesture, movement, and touch. Most science and mathematics learning materials convey information visually, with displays such as diagrams and simulations, resulting in learning experiences with limited sensory engagement. For many learners with visual or print-related disabilities, visual learning materials are inaccessible. Even for others, these materials constrain learning opportunities. Sensory extension incorporates materials and devices to enable new or enhanced perceptions of real or virtual environments. Familiar sensory extension devices include eyeglasses (refractive lenses improve vision), and Geiger counters (auditory perception of radioactive decay). In an inclusive co-design process, the project team will partner with diverse members of the learning community, together co-designing flexible, adaptive, and personalizable technologies, which enable new sensory experiences (e.g., sound, gesture, movement, and touch) to augment popular and widely used interactive simulation learning tools. The project team brings together experts in educational technologies at the University of Colorado Boulder (PhET Interactive Simulations and the Craft Tech Lab) and partner organizations serving youth with learning disabilities and visual impairments.<br/><br/>This project will work to create new learning materials, practices and processes for inclusive design with youth, as well as theories and frameworks for the use of sensory extension technologies as learning resources. To accomplish this, the team will investigate (1) pedagogical and design practices within inclusive inquiry learning in STEM learning settings; (2) the co-design and evolution of sensory extension devices; (3) learners’ experiences of the impact of the inclusive design process on their own perceptions of self-efficacy and STEM; and (4) the learning experience of youth with diverse needs using sensory extension devices for STEM inquiry. The sensory extension devices are expected to enable new forms of collaboration among learners with differing sensory needs, and couple with existing educational technologies to expand their inclusive and accessible use and enrich the learning experience for all users. A rich corpus of data will be collected, tracking the trajectory of each design, including video and audio recordings of co-design sessions and the sensory extension devices in use, photographs of design artifacts and group activities, co-designer reflections and interviews, and self-efficacy survey responses. Through the inclusive co-design process, the project will work to advance foundational understanding of egalitarian processes of educational technology development, embrace sensory diversity, and empower educationally marginalized learners through the creation, customization, and personalization of their own innovative learning tools.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Inclusive/universal design; Wearable / physiological technology; Multimodal communication; Makers / making,,"Inquiry learning (e.g.,project/problem based learning), Accessibility and technology, Modeling and simulation (including agent-based modeling), Inclusive/universal design, Data visualization,representations and dashboards",Inquiry learning (e.g. project/problem based learning),Learning Processes and Theories,Cognitive Science
Kenneth Holstein,"Applied Machine Learning, Artificial Intelligence (AI), Design Research, Ethics, Human Assistance, Learning Sciences and Technologies, Methods, Social Computing, Societal Problems, Tools",,Carnegie Mellon University,Human Computer Interaction Institute,,2118924,Supporting Designers in Learning to Co-create with AI for Complex Computational Design Tasks,"As modern design tasks grow increasingly challenging, artificially intelligent (AI) design tools have the potential to provide new support to designers and engineers. This project will work to enable a future of computational co-creation, in which humans and AI collaborate and learn from each other to create new designs. The project addresses a vital national need: to prepare the emerging workforce in design, engineering, and manufacturing to better solve the complex problems of today by collaborating with AI design tools. In practice, co-creation with AI presents a significant learning curve for designers. The research team will study how people learn to collaborate with AI on real-world design tasks. The team will continuously build and test new ways for AI and designers to learn and interact through conversational and graphical interfaces. Success in this project is expected to advance our understanding of how people learn to collaborate with AI on complex computational co-creation tasks. This project is expected to lead to new training techniques and software design guidelines for AI-enabled design tools and other human-AI co-creative tasks. The research team will share their new interface designs and strategies to support other researchers in studying human-AI co-creation and to support companies in developing new AI-enabled design tools. The team will also incorporate the developed tools and research knowledge into classes for university and high school students, introducing them to human-AI collaboration and preparing them to work with and develop such systems in the future.<br/><br/>The research team will conduct iterative, human-centered design research to advance our understanding of how people learn to collaborate with AI on complex design tasks, while using widely available AI design tools, in the context of designing actively transforming structures. This is a complex, emerging manufacturing task. Steps in the research include: (1) Conduct a series of think-aloud activities to investigate how designers (try to) learn to collaborate with currently available AI design tools. The findings from these activities are expected to provide understandings of current challenges in human-AI design collaboration and will surface the strategies and mental models that people use when learning to collaborate with AI. (2) Prototype novel interface features to advance human–AI co-creation and learning. These will include a range of interactions and interface modalities, building upon theories of effective conversational exchange and supporting controlling actions, delegating actions, and negotiating goals and means. (3) Evaluate these interfaces and interactions to see how well they support designers in learning to interact and productively work with the AI. (4) Use a mix of conversation analysis and multimodal observations to understand how the interface prototypes influence human-AI co-creation. The research is expected to produce new approaches to help researchers study and design human-AI co-creation, including: (a) measures for assessing learning and collaboration in the context of human-AI co-creative tasks; (b) prototyping methods for human-AI collaborative systems; (c) interaction design guidelines for onboarding and supporting designers in human-AI co-creation; and (d) new theory about how conversational interfaces can support designers in learning to co-create with AI.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",AI; Collaborative and/or participatory learning; Design-based research (DBR); HCI,,"Engineering education, AI, Natural language processing and speech technologies, Multimodal data analysis","Social welfare development and responsibility,Machine learning,Cultural competence/responsiveness,AI,Design Research,Human-AI Interaction","Learning Environments and Platforms,Other Disciplinary Areas,Research Methods,Equity and Social Justice,AI Approaches and Technologies","Computer Science, Human-Computer Interaction"
Chris Rogers,"education, music instrument design",,Tufts University,Mechanical Engineering,,2119174,Integrating Artificial Intelligence with Smart Engineering and English Language Arts in Upper Elementary Education,"This project will develop upper elementary school students’ abilities to work with Artificial intelligence (AI) in future careers. AI will be a critical tool for influencing and increasing productivity in the future of work. As such, it is increasingly important to introduce K-12 students to basic AI knowledge and skills, build familiarity with AI technologies, and train students to be competitive in the workforce. Through this project, a team of robotics and education researchers at Tufts University in Massachusetts and Maryville University in St. Louis, MO will work with over 50 teachers in St. Louis County to develop a research-informed educational ecosystem bringing AI concepts to upper elementary school students. This ecosystem will include a novel, low-cost, AI-enabled hardware toolset, including components such as sensors, actuators, and a microcontroller, for students to build smart systems, as well as support for teacher professional development. Through after-school and summer programs, the project will engage over 1000 St. Louis County students in constructing functional AI-enabled solutions to problems presented in fictional stories that the students read in English language arts and summer reading programs. The goal of the approach is to encourage transdisciplinary learning at the intersection of AI, engineering, and literacy. The education program testing will include 12 teachers and 500 students from the upper elementary target audience, with other participants in pilot testing across the K-12 grade band. The project aims to generate a new model for introducing vital AI concepts to elementary students that reduces barriers to integrating computational thinking into school curricula and provides tangible, trainable representations of AI for students to explore.<br/><br/>Researchers will investigate three primary research questions: 1) How does the introduction of tangible artificial intelligence elements lead to changes in upper elementary students’ understanding of artificial intelligence concepts and attitudes towards artificial intelligence? 2) How do different levels of complexity and variety of tangible artificial intelligence learning tools impact students' engagement and the diversity of their solutions and designs? 3) What are the potential benefits and challenges of introducing tangible artificial intelligence elements in integrated engineering and literacy activities? The project team will apply a design-based research (DBR) approach to jointly generate interdisciplinary education and learning sciences theory alongside iteratively designing and developing the toolset, professional development, and activities. The research will include interviews and surveys with AI professionals to develop and validate grade-appropriate measures of students’ understanding of AI concepts and attitudes. The team will evaluate the research questions with a mixed-methods analytic approach, triangulating qualitative data from teacher interviews, lesson and professional development observations, student-made artifact analysis, and artifact-based student interviews with quantitative data from teacher and student surveys. The project’s contribution will shift the artificial intelligence education paradigm towards a convergent curriculum and away from the status quo of coding and computing requiring separate instruction. The project findings will help inform the field about challenges specific to AI education in upper elementary grades. The deliverables from this project will include the AI Animated Inventions (AI2) hardware toolset, a teacher professional development model, a gallery of example activities and student work, and measures of the program’s effectiveness, as well as the usability and utility of the tangible artificial intelligence elements for learning AI concepts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Design-based research (DBR), Modeling and simulation (including agent-based modeling), AI",Creativity,Learning Processes and Theories,Mechanical Engineering
Francis Quek,"Human Computer Interaction, Computer Vision, Visualization",,Texas A&M University,Computer Science,,2119549,Using Augmented Reality and Artificial Intelligence to Improve Teaching and Learning Spatial Transformations in STEM Disciplines,"The mathematics that are used to describe spatial transformations can be very difficult for undergraduate students.  While moving something in the physical world may be easy to understand, describing the same operation with math in the digital world can be daunting.  This project will develop new technology using Augmented Reality (AR) and Artificial Intelligence (AI) to improve the teaching and learning of these difficult concepts in STEM disciplines as well as creative endeavors.  The project will test the use of new AR/AI technology to enhance students’ learning of the mathematics behind spatial transformations.  This will improve the use of AR/AI-powered precise motion tracking of objects that can collect high resolution in-situ motion and scene data to enhance learning analytics. The project will identify the AR capabilities that can help students conceive, connect, and compare mathematical representations of motion to overcome the well-documented difficulties students face when learning spatial transformations.  Strengthening this skill will support their continued development across many STEM disciplines.<br/><br/>An AR/AI-powered innovative learning environment will be developed and evaluated for its effects on teaching and learning major rotation and orientation representations in the Euclidean space.  Different levels of abstraction, including Axis-Angle, Euler Angles, Matrices, and Quaternions will be tested. In workshops participants will play with and transform 3D-printed geometry models to evaluate the effectiveness of the AR/AI technology. The project will assess student learning outcomes by comparing math skills in pre- and post-workshop tests compared to students working through the same tasks without the use of the AR/AI technology. The project will contribute to advancing knowledge across disciplines of spatial and mathematical pedagogies, by exploring: a) the role of novel AR interaction that allows the interplay between physical and virtual manipulatives to engage students in embodied learning; b) the capabilities of AR to make difficult invisible concepts visible for supporting an intuitive and formal understanding of spatial reasoning and mathematical formulation; c) the features of AR that help students see relationships between spatial manipulations and mathematical operations; and d) the potential impact of individual differences in spatial transformations when using AR-assisted mathematical learning.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Modeling and simulation (including agent-based modeling); Augmented/virtual/mixed reality; Games and game making; Makers / making,,"Augmented/virtual/mixed reality, Self-regulation,reflection and metacognition, AI, Embodied learning and cognition, Modeling and simulation (including agent-based modeling), Learning analytics","HCI,Computer vision technologies,Data visualization representations and dashboards","Research Methods,Analytics,AI Approaches and Technologies",Computer Science
Lawrence Angrave,"Accessible Education, Effective computer science instruction at scale",,University of Illinois at Urbana-Champaign,Computer Science,,2119589,Collaborative Research:  Advancing STEM Online Learning by Augmenting Accessibility with Explanatory Captions and AI,"Videos are a popular medium for online learning, in which captions are essential for increasing accessibility to students for effective learning. This research identifies two types of video captions: typical closed captions and explanatory captions. Closed captions are a text representation of the spoken part of a video. Explanatory captions are created to give students insights into the visual, textual, and audio content of a video. Existing technologies have focused on automatically generating or improving the quality of closed captions. For STEM learning, explanatory captions have the potential to play a new role in learning. This project will work to devise effective Q/A mechanisms and effective interaction designs that enable students and instructors to generate explanatory captions for STEM videos in a collaborative manner. The proposed technologies will augment accessibility and learning experiences for under-served populations, including the Deaf and Hard-of-Hearing (DHH) community, made up of 48 million Americans, while also improving comprehension for non-native English speakers, even those without hearing impairments. Evaluation sites include both Gallaudet University, the world’s only liberal arts university dedicated exclusively to educating DHH learners, and the University of Illinois at Urbana-Champaign, which has the largest international student population amongst U.S. public institutions and supports students with disabilities in inclusive learning environments. <br/><br/>This interdisciplinary research draws from and contributes to both computer science and learning science, and accessibility practices in the following areas. The first step is discovering new knowledge about how accessibility-enabled videos (with explanatory and closed captions) broaden the participation of under-served populations in STEM learning. This will provide the foundation for developing a theory of how explanatory captions can contribute to learning and effective mechanisms, based on crowdsourced human contributions and machine learning algorithms, to create these explanatory captions for STEM videos at different learning stages (e.g., preparing, tracking, trouble-shooting, and reflecting). The investigators will then use the theory to create a novel chatbot that enables knowledge sharing for students with diverse backgrounds.  Theoretical frameworks--ICAP (interactive, constructive, active, and passive) and Community of Inquiry will guide the evaluation of how explanatory captions and chatbots can contribute to learning. Finally, the team will acquire empirical understanding of how augmented accessibility with AI agents (e.g., chatbots) impacts students' and instructors’ practices.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Online learning, Identity, Accessibility and technology, Broadening participation of historically marginalized groups, Self-regulation,reflection and metacognition, Machine learning, Data visualization,representations and dashboards, Embodied learning and cognition, AI, Media use","Accessibility and technology,Instructional Design","Equity and Social Justice,Capacity Building",Computer Science
Michael Zang,Outreach,,McGaw YMCA MetaMedia,Program Administrator,,2119701,Supporting Computational Literacy by Designing a Collaborative Platform at the Intersection of Music and Code,"This project will design and build technology that empowers ensemble musical performances with code while advancing the field of collaborative learning. It addresses two critical challenges for science and technology learning in the 21st century. First, how do we develop broad-based computational literacy skills for the next generation of learners? Second, how do we do that in a way that is inclusive—engaging diverse learners who have been historically marginalized in computational fields? The challenge of developing computational literacy is important across scientific, creative, artistic, and trade professions because computing is rapidly transforming all fields. As a result, skills such as computer programming are becoming foundational for everyone. To support motivation, learning, creative expression, and broadening participation, this research will investigate the intersection of music (as an integral component of contemporary culture) and computer programming in the design of a new collaborative technology platform. The platform takes inspiration from community-centered discourse and participation structures, such as drum circles, improvisational performance, and jam sessions. Participants will collaborate in online compositions by simultaneously writing computer code to play virtual musical instruments. Through a close partnership with the YMCA of Evanston, Illinois, the project will directly impact thousands of young learners in and around Chicago, and beyond, with a focus on students of color. The platform and learning materials (including audio and video tutorials hosted on YouTube) will be made freely available via a website to facilitate widespread adoption. These interconnections have the potential to serve as a foundation for prolonged interest, learning, creative expression, and lead to positive attitudes towards computing from a more representative, computationally empowered population.<br/><br/>This research builds on conceptual connections between music and computer science to contribute to computational literacy, informal learning in STEM and the arts, and creative and embodied approaches to computing. The project designs and studies a collaborative music+coding platform designed to give students freedom to tinker creatively, learn from their peers, and playfully confront culturally ingrained expectations about who can and should be a ""computer person"". The project will investigate the following thematic pairs of research questions: (1) Technology Innovation: How can we design technology that empowers ensemble musical performances with code? What are the foundational affordances of this technology to facilitate both co-located (multiple learners on the same physical stage) and distributed (multiple learners performing on a virtual livestream) musical performances? (2) New Models for Learning with Technology: How do we best design collaborative music+coding environments? What are the affordances of such environments for distributed collaboration, creativity, and computational literacy? (3) Broadening Participation: How can the intersection of music and computational literacy provide a context for prolonged interest and engagement for young people who have been historically marginalized in computing careers? Can code become a socially and culturally relevant medium of expression for creating and sharing music?<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","Broadening participation of historically marginalized groups; Creativity; Inquiry learning (e.g., project/problem based learning); Design-based research (DBR)",,"Broadening participation of historically marginalized groups, Collaborative and/or participatory learning, Computational thinking, Modeling and simulation (including agent-based modeling), Creativity",Cultural competence/responsiveness,Equity and Social Justice,Outreach
Kilchan Choi,"development of advanced statistical methodologies including latent variable hierarchical models, Bayesian analysis, latent variable measurement models with hierarchical data and applications in large-scale assessment, multi-site evaluation, growth modeling, the effectiveness/accountability of schools, psychometric models and hierarchical models, assessment strategies, implementation of new approaches, innovation in evaluation methods",,University of California-Los Angeles,"Center for Research on Evaluation, Standards and Student Testing (CRESST)",,2119818,Identifying and Extracting Meaningful Indicators of Children's Moment-to-Moment Programming Processes in Scratch,"This project aims to serve the national interest in STEM and computational thinking by developing and validating indicators of students' programming processes. The proposed exploratory research will develop a data logging module for Scratch to collect students' moment-to-moment programming behavior. The project team will develop data processing rules or algorithms to derive indicators of programming processes (e.g., debugging). The project will advance the understanding of what programming processes students use, how these processes unfold over time, and how these processes relate to measures of programming and computational thinking. The data logging module and algorithms will be distributed to the Scratch community to allow the study of programming processes at scale. The research will also produce a systematic and replicable methodology to accelerate the development of algorithms and widespread dissemination of the tools, techniques, and methods used to study programming processes.<br/><br/>The research will observe novice fifth grade and undergraduate students learning to program in Scratch. Students' process data will be used to derive indicators of programming processes. The indicators will be compared between age groups, within each age group over time, and to existing external measures of programming concepts and skills. This research will generate insights about what, how, and potentially why students perform the way they do. The capability to derive indicators of programming processes will complement existing methods of scoring static Scratch code. Algorithm development will focus on theoretically-driven, rule-based indicators of programming processes that are directly interpretable and on methods that systematize and accelerate the algorithm development process. The algorithm development methodology will apply to other block-based environments and applications involving process data such as games, simulations, and innovative item types in educational assessment.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Telemetry-based indicators,,"Cyber-enhanced/Computer-assisted assessments, Computational thinking, Learning analytics","Learning analytics,Machine learning,Evaluation,Modeling and simulation (including agent-based modeling)","Analytics,Capacity Building,Other Disciplinary Areas,AI Approaches and Technologies","Evaluation,Testing"
Anirban Roy,"Computer Vision, Machine Learning, Deep Learning, Neural Networks",,SRI International,Learning Sciences,,2139219,EAGER: Technology to Review Online Videos for Education (TROVE),"Online videos are becoming increasingly popular with young children. This presents a challenge for parents and educators who want them to watch educational videos but may lack the ability or time to distinguish educational from non-educational content within the rapidly growing universe of online video. To our knowledge, there are currently no machine learning methods for classifying educational video content; current methods rely on humans to identify video content. But human content reviews cannot keep pace when, on average, approximately 500 hours of content are uploaded to YouTube every minute. The goal of this project is to develop Technology to Review Online Videos for Education (TROVE), a machine learning-based tool to identify early childhood mathematics content in a high volume of videos. This capability will enable new approaches to increase young children’s exposure to developmentally appropriate mathematics content in videos, which has been shown to improve mathematics learning outcomes. TROVE will lay the groundwork to identify a range of subjects in videos, including literacy, science, and social-emotional content. Further, the technological advances developed under this project will have applications in other fields, including adaptive learning, social media analytics, propaganda detection, and video summarization. <br/><br/>Our multidisciplinary team of education and machine learning researchers will develop a content classification engine to identify mathematics content in online videos. We will define developmentally appropriate mathematics content at the toddler, preschool, and kindergarten levels based on the Head Start Early Learning Outcomes Framework and Common Core State Standards. To train the content classification engine, researchers who have demonstrated reliability in identifying the target mathematics content will annotate the mathematics content in 100 hours of online videos. The project’s central research question asks, how accurately can the content classification engine identify early childhood mathematics content in videos, as compared to humans? To answer this, we will compare the mathematics content identified by TROVE to that identified by researchers in a set of videos that were not used to train the classification engine. We will share our findings with education technology researchers and developers, educators, and policymakers via a peer-reviewed journal article and blog post. TROVE has transformative potential to support young children’s learning through exposure to high-quality, developmentally appropriate educational videos. Further, this technology may enable large-scale research on the impacts of children’s exposure to educational and non-educational video content.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Computer vision technologies; Machine learning; Multimodal data analysis; Media use,,Machine learning,"Machine learning,Computer vision technologies","Other Disciplinary Areas,AI Approaches and Technologies",Learning Sciences
Jennifer Chiu,"Teacher Education, Curriculum & Instruction, Instructional Technology, Science Education","University of California, Berkley",University of Virginia,School of Education and Human Development,,2136724,EAGER: Adaptive Digital Twinning: An Immersive Visualization Framework for Structural Cyber-Physical Systems,"Infrastructure systems in the United States include a diverse series of assets, systems, and networks that are vital to the nation’s economy, security, and integrity. Members of every community, ranging from individual families to global corporations, rely on these infrastructure systems to thrive and maintain a high quality of life. This infrastructure is complex, interdependent, interconnected, and diverse, encompassing the water that we drink, the power that we use, the transportation services that move us, and the communication systems that connect us. Many of these infrastructure systems that serve society today were built during the second industrial age, and in many cases are in a state of disrepair with decreasing resources to preserve them. While we have continued to improve design approaches and implement more sustainable preservation strategies, modern infrastructure systems still follow many of the historical approaches used in their early development and have not been modernized. As societal dependence on technology continues to grow, the underlying physical infrastructure systems must be preserved, but also modernized to ensure that these systems are equipped to serve as the smart and agile cyber-physical systems (CPS) the future demands. This project will explore a high-risk/high reward approach to modernizing infrastructure systems using artificial intelligence-informed digital twins. The digital twinning of an infrastructure system will form a collaborative feedback loop between the measurable data of the physical world and simulated processes in the virtual world, providing a domain-specific adaptation of the broader CPS framework necessary to inform decision-making.<br/><br/>Applied to the domain of large-scale structural systems, this project will test the hypothesis that immersive engagement using a digital twin representation of these structural systems will enable participants to observe, interact, and contextualize the complex behavior mechanisms associated with these systems in their operational environment. To test the hypothesis, the research design will explore a series of technology innovations including the formulation of artificial intelligence models to emulate both simulation-based results and experiment-based measurements. Leveraging these technology innovations, we will be able to 1) understand to what extent can artificial intelligence formulated models effectively emulate the complex mechanical behaviors of simulation and experimentation of large-scale structural system; 2) evaluate to what extent does the development of artificial intelligence formulated models enable the real-time, bi-directional interaction between simulation and experimentation required of a digital twin; and 3) characterize how the deployment of artificial intelligence formulated models within an immersive environment allow end users to observe and characterize operational states of an in-service structural system. Success of this work will be realized through the fusion of experimental and numerical descriptions of these complex cyber physical systems and the creation of novel processes necessary to overcome the knowledge gap that exists between the theoretical descriptions of behavior and real-life structural response, forming a foundation for real-time decision-making for structural systems in their operational environments. Results from this project will be disseminated to the broader research community through refereed journals, conference proceedings, and student dissertations.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Modeling and simulation (including agent-based modeling), Data visualization,representations and dashboards, AI","Science education,Instructional Design,Educator professional learning","Capacity Building,Disciplinary Areas","Education, Psychology"
